,GPAAA,GPA,GPAA,SLC,School,Plus,Physics,Math,Chemistry,Bio,Parent1,Parent2,X1,X2,X3,X4,X5,X6,X111,X222,X333,X444,X555,X666,GPAA,GPAA,pf,Int,Internal,FinalGPA,Prog,OrdGPA,GPAAA
55,B-,0.58,5,0.583333333,0,0.555555556,0.405405405,0.576923077,0.263157895,0.652173913,1,1,0.62,0.74,0.25,0.72,0.68,0.78,0.944444444,0.666666667,0.666666667,0.666666667,0.611111111,1,5,5,1,62,31,65,Civil III,6,B-
56,F,0,0,0.666666667,0,0.75,0.702702703,0.769230769,0.473684211,0.760869565,1,0.666666667,0.6,0.72,0.291666667,0.72,0.86,0.8,0,0.611111111,0,0.722222222,0,1,0,0,0,60,30,0,Civil III,0,F
57,F,0,0,0.652777778,1,0.777777778,0.540540541,0.634615385,0.552631579,0.804347826,0,0.666666667,0.88,0.82,0.583333333,0.74,0.98,0.88,0.833333333,0.666666667,0.777777778,0,0,1,0,0,0,88,44,0,Civil III,0,F
58,F,0,0,0.722222222,0,0.666666667,0.540540541,0.692307692,0.342105263,0.77173913,0.666666667,1,0.64,0.76,0.583333333,0.84,0.98,0.88,0.777777778,0.833333333,0,0.833333333,0.722222222,1,0,0,0,64,32,0,Civil III,0,F
59,F,0,0,0.744444444,0,0.666666667,0.540540541,0.711538462,0.342105263,0.717391304,1,0.666666667,0.9,0.84,0.625,0.74,0.92,0.92,0.833333333,0.611111111,0.722222222,0,0,1,0,0,0,90,45,0,Civil III,0,F
60,F,0,0,0.861111111,0,0.777777778,0.810810811,0.653846154,0.710526316,0,0.666666667,0.666666667,0.84,0.82,0.583333333,0.84,0.86,0.92,0.777777778,0.611111111,0,0,0,0.888888889,0,0,0,84,42,0,Civil III,0,F
61,B-,0.6125,5,0.666666667,1,0.694444444,0.648648649,0.538461538,0.578947368,0,1,0.666666667,0.72,0.84,0.708333333,0.82,0.98,0.7,0.666666667,0.722222222,0.722222222,0.777777778,0.666666667,1,5,5,1,72,36,65,Civil III,6,B-
62,F,0,0,0.833333333,0,0.777777778,0.540540541,0.769230769,0.394736842,0.782608696,0,0.666666667,0.9,0.84,0.5,0.72,0.86,0.92,0.777777778,0.777777778,0,0,0,1,0,0,0,90,45,0,Civil III,0,F
63,F,0,0,0.305555556,1,0.305555556,0,0.442307692,0,0.586956522,0,1,0.8,0.82,0.583333333,0.74,0.92,0.72,0.777777778,0.611111111,0,0,0,1,0,0,0,80,40,0,Civil III,0,F
64,A,0.9725,1,0.344444444,1,0.861111111,0.972972973,0.884615385,0.815789474,0.858695652,1,1,1,1,0.916666667,0.94,0.98,0.92,1,0.944444444,1,1,0.944444444,0.944444444,1,1,1,100,50,85,Civil III,10,A
65,B+,0.8,3,0.75,0,0.833333333,0.702702703,0.903846154,0.552631579,0,1,0.666666667,0.74,0.82,0.833333333,0.86,0.86,0.72,0.888888889,0.888888889,0.833333333,0.944444444,0.666666667,1,3,3,1,74,37,75,Civil III,8,B+
