"","GPA","SLC","School","Plus","Physics","Math","Chemistry","Bio","Parent1","Parent2","X1","X2","X3","X4","X5","X6","X111","X222","X333","X444","X555","X666"
"70",0.7375,0.7,1,0.833333333333333,0.621621621621622,0.692307692307692,0.763157894736842,0.815217391304348,0,0.666666666666667,0.66,0.9,0.666666666666667,0.84,0.92,0.88,0.888888888888889,0.777777777777778,0.777777777777778,0.944444444444444,0.611111111111111,1
"71",0.8425,0.673611111111111,0,0.611111111111111,0.810810810810811,0.442307692307692,0.868421052631579,0.771739130434783,0.666666666666667,1,0.78,0.82,0.833333333333333,0.9,0.92,0.88,0.833333333333333,0.944444444444444,0.888888888888889,1,0.777777777777778,1
"72",0,0.661111111111111,1,0.777777777777778,0.540540540540541,0.711538461538462,0.526315789473684,0.815217391304348,0.666666666666667,0.333333333333333,0.54,0.7,0.375,0.84,0.86,0.82,0.666666666666667,0.944444444444444,0,0.722222222222222,0.666666666666667,1
"73",0.86,0.864722222222222,1,0.861111111111111,0.567567567567568,0.884615384615385,0.552631578947368,0.815217391304348,0.666666666666667,0.666666666666667,0.8,0.9,0.791666666666667,0.92,0.98,0.78,0.944444444444444,0.833333333333333,1,0.833333333333333,0.833333333333333,1
"74",0.8475,0.780555555555555,0,0.861111111111111,0.810810810810811,0.769230769230769,0.605263157894737,0.75,1,1,1,0.88,0.75,0.92,0.92,0.8,0.888888888888889,1,0.833333333333333,0.777777777777778,0.888888888888889,1
"75",0,0.830555555555556,1,0.75,0.702702702702703,0.769230769230769,0.447368421052632,0.75,0,0,0.8,0.78,0.583333333333333,0.86,0.86,0.86,0.666666666666667,0.833333333333333,0,0,0,1
"76",0,0.761111111111111,1,0.666666666666667,0.540540540540541,0.576923076923077,0.447368421052632,0.847826086956522,0.666666666666667,0.666666666666667,0.8,0.76,0.666666666666667,0.8,0.86,0.8,0.722222222222222,0.722222222222222,0,0,0,0.944444444444444
"77",0.8825,0.875,1,0.944444444444444,0.513513513513513,0.711538461538462,0.789473684210526,0.858695652173913,1,0.666666666666667,0.9,0.9,0.625,0.92,0.98,0.72,0.833333333333333,1,0.944444444444444,1,0.833333333333333,1
"78",0.775,0.855555555555556,1,0.944444444444444,0.810810810810811,0.903846153846154,0.605263157894737,0.880434782608696,0.666666666666667,0.666666666666667,0.86,0.82,0.791666666666667,0.88,0.98,0.74,0.666666666666667,0.888888888888889,0.777777777777778,1,0.777777777777778,1
"79",0,0.722222222222222,1,0.555555555555556,0.513513513513513,0.673076923076923,0.263157894736842,0.706521739130435,0.333333333333333,0.666666666666667,0.88,0.86,0.666666666666667,0.92,0.92,0.8,0.722222222222222,0.888888888888889,0,0.944444444444444,0,1
"80",0,0.866666666666667,1,0.777777777777778,0.72972972972973,0.807692307692308,0.447368421052632,0.706521739130435,0.666666666666667,0.333333333333333,0.76,0.9,0.875,0.86,0.86,0.8,0.944444444444444,0.833333333333333,0,0.722222222222222,0,1
"81",0.84,0.866666666666667,1,0.777777777777778,0.72972972972973,0.807692307692308,0.447368421052632,0.706521739130435,1,0.666666666666667,0.76,0.9,0.875,0.86,0.86,0.74,1,0.666666666666667,0.777777777777778,1,0.833333333333333,1
"82",0.9125,0.866666666666667,1,0.777777777777778,0.72972972972973,0.807692307692308,0.447368421052632,0.706521739130435,0.666666666666667,1,0.76,0.9,0.875,0.86,0.86,0.78,1,0.833333333333333,1,1,0.777777777777778,1
"83",0,0.688888888888889,1,0.944444444444444,0.621621621621622,0.884615384615385,0.552631578947368,0.782608695652174,0,0.666666666666667,0.86,0.8,0.833333333333333,0.98,0.86,0.8,0,0.777777777777778,0,0.722222222222222,0.888888888888889,0.944444444444444
"84",0.91,0.436111111111111,0,0.666666666666667,0.567567567567568,0.634615384615385,0.710526315789474,0.815217391304348,0.333333333333333,1,0.9,1,0.75,0.94,0.92,0.7,1,0.833333333333333,0.888888888888889,1,1,1
"85",0,0.638888888888889,1,0.638888888888889,0.513513513513513,0.576923076923077,0.526315789473684,0.782608695652174,0.333333333333333,0,0.6,0.86,0.666666666666667,0.78,0.92,0.74,0,0.777777777777778,0,0,0,1
"86",0,0.75,1,0.611111111111111,0.135135135135135,0.5,0.342105263157895,0,0,0.333333333333333,0.68,0.9,0.541666666666667,0.8,0.92,0.74,0.888888888888889,0.666666666666667,0,0.888888888888889,0.722222222222222,1
"87",0.9475,0.864722222222222,0,0.972222222222222,1,1,0.815789473684211,0.880434782608696,0.666666666666667,0,0.9,0.98,0.791666666666667,0.92,0.98,0.72,1,0.777777777777778,1,1,0.944444444444444,1
"88",0.8125,0.916666666666667,1,0.916666666666667,0.918918918918919,0.903846153846154,0.684210526315789,0.847826086956522,0.666666666666667,0.666666666666667,0.9,0.8,0.583333333333333,0.9,0.92,0.7,0.722222222222222,0.722222222222222,0.944444444444444,1,0.833333333333333,1
"89",1,0.69,1,0.833333333333333,0.810810810810811,0.519230769230769,0.789473684210526,0.923913043478261,0,0.666666666666667,0.92,0.94,0.75,0.9,0.92,0.78,1,1,1,1,1,1
"90",1,0.791666666666667,1,0.722222222222222,0.567567567567568,0.75,0.552631578947368,0.815217391304348,1,1,0.9,0.88,0.958333333333333,0.94,0.96,0.68,1,0.944444444444444,1,1,1,0.944444444444444
"91",0.9925,0.583333333333333,0,0.694444444444444,0.540540540540541,0.576923076923077,0.763157894736842,0.760869565217391,0.666666666666667,1,0.94,0.92,0.625,0.92,0.94,0.72,0.888888888888889,1,1,0.944444444444444,0.888888888888889,1
